Sample location	Latitude	Longitude	# samples	Category	Accurate
Oskarstrom	56.448838	13.323202	10	Southwest	?
Svenljunga	57.512252	13.12457	10	West	y
Orebro	59.32695	15.251517	9	North	y
Hogtomta	58.176811	15.706293	10	East	?
Kinda	58.1372	15.6830	10	East	y
Sollebrunn	58.120066	12.533529	10	West	?
Skovde	58.390892	13.845809	10	Center	?
Skruvemala	56.453803	15.703659	10	Southeast	?
Aneby	57.838367	14.822959	10	Center	?
Ljungby	56.908537	13.934731	10	South	y
Boras	57.825047	13.009495	10	West	?
Nye	57.343711	15.27246	10	East	?
Jonkoping	57.783019	14.16078	10	Center	?
Vaxsjo	56.880893	14.803059	10	South	?
Vimmerby	57.801091	15.716988	10	East	?
Karlskrona	56.23226	15.917688	8	Southeast	?
Brodys	56.333165	14.649743	6	South	?
Levar	63.588445	19.582435	10	Norrland	y
Stromsund	63.768892	15.705972	10	Norrland	y
N400	56.34077222	14.39740556	10	South/Transect	y
N800	56.34785	14.39615833	10	South/Transect	y
N1600	56.361175	14.38385556	10	South/Transect	y
N3200	56.39028333	14.37478889	10	South/Transect	y
N6400	56.43869444	14.31921944	10	South/Transect	y
N12800	56.55068611	14.27779444	8	South/Transect	y
N25600	56.76599167	14.39861667	9	South/Transect	y
S200	56.333275	14.39822222	7	South/Transect	y
S400	56.32934722	14.39775	10	South/Transect	y
S1600	56.30726389	14.3967	10	South/Transect	y
S3200	56.27905556	14.38444444	10	South/Transect	y
S6400	56.22196944	14.36273611	10	South/Transect	y
S12800	56.14729722	14.19501667	10	South/Transect	y
